id;name;lastName;cpf;photo
1;Rafael;da Mata;417.062.395-99;/assets/imgs/student_1.jpg
2;Yasmin;Oliveira;756.429.318-73;/assets/imgs/student_2.jpg
3;Renan;Porto;364.817.920-96;/assets/imgs/student_3.jpg
4;Ana Clara;Cunha;829.643.175-00;/assets/imgs/student_4.jpg
5;Kamilly;Souza;750.928.413-97;/assets/imgs/student_5.jpg
6;Yago;Jesus;297.468.305-38;/assets/imgs/student_6.jpg
7;Valentina;Rezende;074.291.583-23;/assets/imgs/student_7.jpg
8;Luiz Felipe;da Rocha;258.967.301-95;/assets/imgs/student_8.jpg
9;Pedro Miguel;Mendes;973.852.164-55;/assets/imgs/student_9.jpg
10;Eduardo;Goncalves;546.289.701-49;/assets/imgs/student_10.jpg
